Question,Answer_choice,Correct_or_not
131. The main cause of the onset of orbital cellulitis is (  ),E. Eye surgery,0
"132. The normal value of my country's eyeballs (when looking forward on the side of the eye, protruding from the outer orbital edge) is (  )",A.12 ~ 14 mm,1
"132. The normal value of my country's eyeballs (when looking forward on the side of the eye, protruding from the outer orbital edge) is (  )",B.13 ~ 15 mm,0
"132. The normal value of my country's eyeballs (when looking forward on the side of the eye, protruding from the outer orbital edge) is (  )",C.14 ~ 16 mm,0
"132. The normal value of my country's eyeballs (when looking forward on the side of the eye, protruding from the outer orbital edge) is (  )",D. <12 mm,0
"132. The normal value of my country's eyeballs (when looking forward on the side of the eye, protruding from the outer orbital edge) is (  )",E. The above is not right,0
133. Crocodile tears are more common in (  ),"A.bell, s paralysis facial nerve incomplete repair",1
133. Crocodile tears are more common in (  ),B.Riley-DAY syndrome,0
133. Crocodile tears are more common in (  ),C. Acute tendonitis,0
133. Crocodile tears are more common in (  ),D. Cobe,0
133. Crocodile tears are more common in (  ),E. Chronic lacrimal cystitis,0
134. The following patients with upper eyelid drooping should first consider surgical treatment (  ),A. Congenital upper eyelid drooping,1
134. The following patients with upper eyelid drooping should first consider surgical treatment (  ),B. Paralysis upper eyelid drooping,0
134. The following patients with upper eyelid drooping should first consider surgical treatment (  ),C. Severe muscle weakness upper eyelid drooping,0
134. The following patients with upper eyelid drooping should first consider surgical treatment (  ),D. Get the upper eyelid drooping,0
134. The following patients with upper eyelid drooping should first consider surgical treatment (  ),E. The upper eyelid drooping caused by neurological diseases,0
135. The situation that causes eyeballs is mainly (  ),A. Disposal of tissue traction after bellies inflammation,0
135. The situation that causes eyeballs is mainly (  ),B. Obiasis absorption,0
135. The situation that causes eyeballs is mainly (  ),C. Connect,0
135. The situation that causes eyeballs is mainly (  ),D. Eye tumor,1
135. The situation that causes eyeballs is mainly (  ),E. Eye Fracture,0
136. Except for the typical manifestations of inflammatory pseudotumors (  ),A. Acute onset,0
136. Except for the typical manifestations of inflammatory pseudotumors (  ),B. Ezon pain,0
136. Except for the typical manifestations of inflammatory pseudotumors (  ),C. Eye dysfunction,0
136. Except for the typical manifestations of inflammatory pseudotumors (  ),D. Reviewing and eye-catching,0
136. Except for the typical manifestations of inflammatory pseudotumors (  ),E. Eye muscle is normal,1
"137. About the narrative of the tumor, the wrong thing is (  )",A. Most of them are primary,0
"137. About the narrative of the tumor, the wrong thing is (  )",B. Most of the benign,0
"137. About the narrative of the tumor, the wrong thing is (  )",C. It is more common in middle-aged and elderly people,0
"137. About the narrative of the tumor, the wrong thing is (  )",D. Extension to the surrounding organization,1
"137. About the narrative of the tumor, the wrong thing is (  )",E. Squeeze the bloody secretions in the lacrimal sac,0
"137. About the narrative of the tumor, the wrong thing is (  )",A.75%or more,0
"137. About the narrative of the tumor, the wrong thing is (  )",B.80%or more,0
"137. About the narrative of the tumor, the wrong thing is (  )",C.85%or more,0
"137. About the narrative of the tumor, the wrong thing is (  )",D.90%or more,1
"137. About the narrative of the tumor, the wrong thing is (  )",E.95%or more,0
"139. In the primary epithelium of the lacrimal glands, polygonal adenoma occupies (  )",A.10%,0
"139. In the primary epithelium of the lacrimal glands, polygonal adenoma occupies (  )",B.20%,0
"139. In the primary epithelium of the lacrimal glands, polygonal adenoma occupies (  )",C.50%,1
"139. In the primary epithelium of the lacrimal glands, polygonal adenoma occupies (  )",D.60%,0
"139. In the primary epithelium of the lacrimal glands, polygonal adenoma occupies (  )",E.80%,0
140. The most sensitive eyelid malignant tumor for radiation therapy is (  ),A. yellow tumor,0
140. The most sensitive eyelid malignant tumor for radiation therapy is (  ),B. Eye hemangioma,0
140. The most sensitive eyelid malignant tumor for radiation therapy is (  ),C. Basal cell carcinoma,1
140. The most sensitive eyelid malignant tumor for radiation therapy is (  ),D. Symbolic cell carcinoma,0
140. The most sensitive eyelid malignant tumor for radiation therapy is (  ),E. Corticic cancer,0
"141. The characteristics of the upper eyelid drooping, the wrong narrative is (  )",A. Congenital upper eyelid drooping in children with forehead decreases,1
"141. The characteristics of the upper eyelid drooping, the wrong narrative is (  )","B. The mandibular instantaneous syndrome is manifested as congenital upper eyelid drooping, and the eyelids are moved when motion exercises.",0
"141. The characteristics of the upper eyelid drooping, the wrong narrative is (  )",C.HORNER syndrome can have a drooping upper eyelid on the side,0
"141. The characteristics of the upper eyelid drooping, the wrong narrative is (  )","D.Marin-amat syndrome is also manifested as congenital upper eyelid drooping, but the eyelid is closed when the mouth is opened",0
"141. The characteristics of the upper eyelid drooping, the wrong narrative is (  )","E. Patients with severe muscle weakness, upper eyelids, drooping morning light twilight",0
"142. Regarding chronic tendonitis, the wrong expression is (  )",A. The main symptom is tears,0
"142. Regarding chronic tendonitis, the wrong expression is (  )",B. Squeezing the lacrimal sac area may have mucus or viscosity secretions from tears.,0
"142. Regarding chronic tendonitis, the wrong expression is (  )","C. If the drainage is not connected, the tear sac can gradually increase the formation of the lacrimal mucus cyst",0
"142. Regarding chronic tendonitis, the wrong expression is (  )",D. Ladings Nasal Kascus is one of the methods of treatment,0
"142. Regarding chronic tendonitis, the wrong expression is (  )",E. Young people can consider tear sac to remove the problem to solve the problem of tears,1
143. The following is correct about inflammatory false tumors (  ),A. Eye muscle attachment edema,1
143. The following is correct about inflammatory false tumors (  ),"B. Eye muscle hypertrophy, the tendon is not affected",0
143. The following is correct about inflammatory false tumors (  ),C. The earliest affected was the rectus muscle,0
143. The following is correct about inflammatory false tumors (  ),D. Most of them are chronic inflammation,0
143. The following is correct about inflammatory false tumors (  ),E. Treatment is mainly broad-spectrum antibiotics,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),A. Pneumonia,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),B.β-hemolytic link bacteria,1
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),C. Fluentalobacteriobacterium,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),D. Staphylococcus aureus,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),E. Momo-Aibly,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),A. Foreign sensation,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),B. Corneal ulcer,1
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),C. Tears,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),D. Conjunctival congestion,0
144. The main bacteria that cause acute tendonitis in infants and young children are (  ),E. Affect vision,0
146. The most common reason for inverted eyelashes is (  ),A. trachoma,1
146. The most common reason for inverted eyelashes is (  ),B. Plasseitis,0
146. The most common reason for inverted eyelashes is (  ),C. Eyeitis,0
146. The most common reason for inverted eyelashes is (  ),D. Eye trauma,0
146. The most common reason for inverted eyelashes is (  ),E. Eye burns,0
147. The most important bacteria that cause bonding glands is (  ),A. Pneumococcus,0
147. The most important bacteria that cause bonding glands is (  ),B. Staphylococcus aureus,1
147. The most important bacteria that cause bonding glands is (  ),C. Fluentalobacteriobacterium,0
147. The most important bacteria that cause bonding glands is (  ),D. E. coli,0
147. The most important bacteria that cause bonding glands is (  ),E. Transformers,0
"148. The upper eyelid drooping refers to when watching the front of the front, the upper eyelid edge covers the upper part of the cornea exceeding the cornea (  )",A.1/6,0
"148. The upper eyelid drooping refers to when watching the front of the front, the upper eyelid edge covers the upper part of the cornea exceeding the cornea (  )",B.1/5,1
"148. The upper eyelid drooping refers to when watching the front of the front, the upper eyelid edge covers the upper part of the cornea exceeding the cornea (  )",C.1/4,0
"148. The upper eyelid drooping refers to when watching the front of the front, the upper eyelid edge covers the upper part of the cornea exceeding the cornea (  )",D.1/3,0
"148. The upper eyelid drooping refers to when watching the front of the front, the upper eyelid edge covers the upper part of the cornea exceeding the cornea (  )",E.1/7,0
149. The main pathogenic bacteria of acute tear glands are (  ),A. E. coli,0
149. The main pathogenic bacteria of acute tear glands are (  ),B.β-hemolytic link bacteria,0
149. The main pathogenic bacteria of acute tear glands are (  ),C. Fluentalobacteriobacterium,0
149. The main pathogenic bacteria of acute tear glands are (  ),D. Staphylococcus aureus,1
149. The main pathogenic bacteria of acute tear glands are (  ),E. Momo-Aibly,0
150. The cause of the meibomian gland cyst is (  ),A. bacterial infection,0
150. The cause of the meibomian gland cyst is (  ),B. fungal infection,0
150. The cause of the meibomian gland cyst is (  ),C. Oyomic gland secretion function is too strong,0
150. The cause of the meibomian gland cyst is (  ),D. Outritting gland export obstruction,1
150. The cause of the meibomian gland cyst is (  ),E. Billonal Gonorite Barbonic inflammation,0
151. The most common reasons for prominent eyesight of children (  ),A. Obilus honeycomb wovenitis,1
151. The most common reasons for prominent eyesight of children (  ),B. Skeletal muscle sarcoma,0
151. The most common reasons for prominent eyesight of children (  ),C. Neurological fibroma,0
151. The most common reasons for prominent eyesight of children (  ),D. Gelatinoma,0
151. The most common reasons for prominent eyesight of children (  ),E. Skin-like cyst,0
152. Which of the following balls cannot be checked with nuclear magnetic resonance (  ),A. Stone,0
152. Which of the following balls cannot be checked with nuclear magnetic resonance (  ),B. Glass,0
152. Which of the following balls cannot be checked with nuclear magnetic resonance (  ),C. iron,1
152. Which of the following balls cannot be checked with nuclear magnetic resonance (  ),D. Copper,0
152. Which of the following balls cannot be checked with nuclear magnetic resonance (  ),E. Plastic foreign body,0
153. Tear sac nasal kitchen surgery flows into tears (  ),A. lower nose,0
153. Tear sac nasal kitchen surgery flows into tears (  ),B. Middle Nose,1
153. Tear sac nasal kitchen surgery flows into tears (  ),C. Upper nose,0
153. Tear sac nasal kitchen surgery flows into tears (  ),D. Nasal armor,0
153. Tear sac nasal kitchen surgery flows into tears (  ),E. lower nasal armor,0
154. The direction of compression of the eye shift of the lacrimal glands is (  ),A. Shift to the nose,0
154. The direction of compression of the eye shift of the lacrimal glands is (  ),B. Shift to the nose,1
154. The direction of compression of the eye shift of the lacrimal glands is (  ),C. Shift above the temporal,0
154. The direction of compression of the eye shift of the lacrimal glands is (  ),D. Shift to the temporal,0
154. The direction of compression of the eye shift of the lacrimal glands is (  ),E. Shift to the front of the front,0
